gene_id	dmso_a	dmso_b	thz500_a	thz500_b	thz100_a	thz100_b	actinomycin150_a	actinomycin150_b	actinomycin10_a	actinomycin10_b
ENSG00000006744.18	4717	3035	2739	2298	4498	5221	2705	3144	4726	3133
ENSG00000006747.14	837	554	917	736	729	850	750	845	672	479
ENSG00000006756.15	589	398	604	543	566	594	658	802	629	455
ENSG00000006757.11	313	240	318	271	264	313	277	314	335	207
ENSG00000006788.12	1	1	1	1	5	0	0	0	0	0
ENSG00000006831.9	4876	2983	3146	2576	4215	4637	1850	2208	3961	2592
ENSG00000006837.11	15	12	12	17	10	10	13	13	11	14
ENSG00000007001.12	0	1	1	1	1	1	0	0	2	1
ENSG00000007038.10	0	0	0	0	0	0	0	0	0	0
ENSG00000007047.14	1840	1159	892	775	1607	1737	675	766	1627	1069
ENSG00000007062.11	2	1	1	0	1	4	1	1	1	1
ENSG00000007080.10	4861	3170	4828	4119	4470	5115	4522	5791	5017	3219
ENSG00000007129.17	8	6	11	9	7	15	6	13	8	6
ENSG00000007168.12	10155	6231	4438	3697	8603	9409	2512	2565	7654	5312
ENSG00000007171.16	0	0	0	0	0	0	0	2	0	0
ENSG00000007174.17	5809	3428	3973	3406	4917	5301	3418	3900	4798	3160
ENSG00000007202.14	10169	6161	8557	7313	9258	10291	7918	8675	9543	6367
ENSG00000007216.14	0	0	0	0	0	0	0	0	0	0
ENSG00000007237.18	26569	15751	22174	18526	23272	24842	13871	15866	17492	11447
ENSG00000007255.10	531	336	623	508	496	483	552	776	555	336
ENSG00000007264.13	21	10	35	19	28	21	19	28	23	23
ENSG00000007306.14	0	1	0	0	0	0	0	1	1	0
ENSG00000007312.12	0	1	2	0	1	1	1	0	1	0
ENSG00000007314.11	14	10	12	10	14	13	9	17	15	1
ENSG00000007341.18	445	266	318	270	367	395	276	344	435	311
ENSG00000007350.16	4	4	4	5	4	6	3	4	2	5
ENSG00000007372.20	29	19	34	24	33	38	41	36	24	15
ENSG00000007376.7	1034	616	361	305	899	1006	208	260	896	577
ENSG00000007384.15	2070	1329	1673	1444	1906	2153	1575	2134	2108	1264
ENSG00000007392.16	1253	853	481	342	1131	1246	254	318	1214	777
ENSG00000007402.11	275	156	307	259	238	263	306	338	306	188
ENSG00000007516.13	53	33	144	115	61	73	98	116	80	47
ENSG00000007520.3	1203	905	1238	1076	1179	1401	1068	1450	1460	865
ENSG00000007541.14	1314	854	1242	1054	1234	1449	1065	1511	1322	770
ENSG00000007545.15	539	367	223	188	483	562	65	101	329	224
ENSG00000007866.18	671	440	431	381	666	767	284	368	706	478
ENSG00000007908.15	0	0	0	0	0	0	0	0	0	0
ENSG00000007923.15	1587	870	1035	962	1251	1409	982	1136	1187	778
ENSG00000007933.12	0	1	0	3	0	1	0	5	4	0
ENSG00000007944.14	98	53	148	136	112	114	96	119	221	127
ENSG00000007952.17	40	21	31	20	35	35	31	32	39	19
ENSG00000007968.6	1005	587	265	220	876	955	197	237	817	545
ENSG00000008018.8	14807	9489	13313	10841	12329	13772	10717	13433	13139	8773
ENSG00000008056.12	110	94	106	95	111	118	107	101	132	77
ENSG00000008083.13	454	296	591	464	403	524	82	80	191	129
ENSG00000008086.10	538	305	248	199	436	500	84	93	315	231
ENSG00000008118.9	1	0	0	0	1	1	1	1	2	0
ENSG00000008128.22	58	27	37	22	41	77	41	57	49	30
ENSG00000008130.15	1328	864	1181	912	1227	1455	894	1066	1461	899
ENSG00000008196.12	0	0	0	0	0	0	0	0	0	0
ENSG00000008197.4	0	0	0	0	0	0	0	0	0	0
ENSG00000008226.19	5	4	19	15	6	4	14	14	4	1
ENSG00000008256.15	3238	2115	2992	2447	3049	3523	1150	1305	2491	1750
ENSG00000008277.14	972	523	1220	982	757	859	1086	1100	833	532
ENSG00000008282.7	7989	4645	6397	5292	6336	6994	5084	5535	6691	4618
ENSG00000008283.15	1429	846	1382	1200	1228	1529	1229	1522	1495	967
ENSG00000008294.20	14575	9093	13748	11201	12032	14172	10326	11421	11226	7631
ENSG00000008300.14	267	190	198	135	252	263	147	185	312	193
ENSG00000008311.14	134	105	155	121	117	167	116	138	142	94
ENSG00000008323.15	14	7	14	21	8	4	15	14	27	13
ENSG00000008324.10	423	326	130	119	414	413	240	327	429	307
ENSG00000008382.15	438	251	518	406	403	518	434	525	491	301
ENSG00000008394.12	1	5	2	4	4	4	3	7	2	0
ENSG00000008405.11	2848	1720	2313	1837	2380	2722	839	981	2289	1405
ENSG00000008438.4	9	2	6	6	3	4	2	3	4	3
ENSG00000008441.16	11980	7173	7703	6468	10643	11794	5373	6257	9145	5849
ENSG00000008513.14	29242	18116	8133	6783	24219	27133	2085	2271	15121	9585
